amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
"9,963",Hannah's Heroes,U.S. Dollar,,of $177k goal,234,"Our daughter Hannah was born with 2 very rare diseases 1 called C.A.H
  and the other called Spinal Muscular Atrophy, which works to rob her
  of her ability to move, breath and, eventually, live. There is a drug
  that can stop this disease. It has just approved it. But accessing it
  costs $177,000, and the process of our drug plan won’t be ready for
  another year. That’s a year that our little girl can’t afford to wait.
  It would be a year of vulnerability and loss. But with your
  help, we believe we can turn it into a year of miracles! Let me
  tell you the rest of our story. Spinal Muscular Atrophy (SMA) has
  become our daily life. It’s the genetic condition most likely to kill
  children under six years of age, and our daughter has it. It’s a
  progressive lower motor neuron disease, that is loosely paralleled to
  adult ALS. But there are significant differences: most notably, SMA
  never affects cognition, so our daughter is as bright and keen as any
  other child her age. At 14 months, Hannah took her first 3 steps. She has never walked
  since then. After those first steps, she lost any strength to walk,
  then strength to pull up to stand, and then the strength to crawl. She
  can barely get from a lying position to a sitting position. Hannah is
  our mature little scholar! But she is completely dependant on us for
  dressing, toileting, and getting her in her wheelchair.But those
  things aren’t the worst. She is at an extreme risk of respiratory
  failure. Every single simple cold/viral infection is a threat. At
  least three times a year these infections strike hard enough to send
  her to the hospital. As a parent, I weep and get nauseous just
  thinking about this. I don’t want to think about what the next year
  could hold for her. But the amazing thing is that it doesn’t have
  to be that kind of year for our little girl. For over two decades
  the gene responsible for SMA has been known but there has not been a
  single available treatment. This past summer the first drug in history
  to specifically treat SMA was approved ! It is called Spinraza
  (Nusinersen). It can completely halt SMA in its path and even lead to
  some GAIN in muscle strength! This drug truly is a miracle, and
  we need our daughter on it as soon as possible. Though it’s
  approved Spinraza won’t be available on our drug plans for another
  year. It costs $177,000 to provide a year’s supply for Hannah 3 vials
  . The manufacturer, Biogen, will sell it directly to families willing
  to pay for it. This treatment WILL stop Hannah's respiratory deterioration, keep her
  hands strong, and prevent future problems in her spine that would
  require surgery.And we don’t even know what gains it might provide.
  Instead of a year of atrophy it can become a year of miracles! But we
  need your help. We do everything we can for our little girl but we
  can’t do this alone. We need to raise $177,000. Please join us
  on our journey and help to make this a year of miracles for Hannah",https://fundrazr.com/HannahsHeroes
"12,100",Help Zuberi Walk Again With Stem Cell Treatment!!!,U.S. Dollar,"Dec 31, 2018",of $85k goal,3,"https://youtu.be/qAHDUtt8YAA In 1993 in Oakland, CA at age 23, Zuberi Mwanathaura became the
  unintentional target in a gun shooting. In the aftermath that
  followed, he was ultimately rendered paralyzed from the chest down and
  wheelchair bound. The shooter’s bullet was meant for his cousin, but
  he was caught in the crossfire, an irony, since he had lived as a law
  abiding citizen his entire life; making his goal to stay clear of
  drugs and violence, unfortunately it became his nemesis. Zuberi lived a very positive and active life before, which he still
  maintains since the tragedy. Albeit, he grew up in the inner city and
  managed to avoid major incidents of violence involving guns, drugs and
  gangs. He knew it was incumbent to remain focused on his goals of
  living a very disciplined life by never drinking alcohol or using any
  kind of drugs, thus avoiding conduits possibly predisposing themselves
  such a tragic outcome. Zuberi at the very time of the shooting worked
  three jobs, seven days a week, while raising two children along with
  pursuing his goals and dreams of being an entertainer (actor, model,
  dancer, rapper and writer). Post the immediacy of the incident, he has
  survived two life threatening surgeries with his heart stopping twice
  on the operating table. Afterwards, and as he convalesced, while
  bedridden for a year, with countless prayers, tears, family and
  community support, he regained physical strength and emotional
  resiliency (although punctuated by intense, constant, and chronic pain
  related to the remaining bullet fragments in his spinal cord and
  chest; 25 years post-incident, he continues to endure the never-ending
  constant, excruciating, chronic, physical pain induced by the bullet
  fragments that remained in his spine). Once stabilization period peaked Zuberi began volunteering by
  mentoring to youth, doing motivational speaking engagements, at
  numerous schools, churches, and social programs; ALL at his own
  expense never charging a fee for his services! Desirous of furthering
  his formal education, Zuberi went back to school and began to
  matriculate his degree and in May, 2000 he was conferred with a
  Bachelor of Arts degree in History Education from Clark Atlanta
  University in Atlanta, Georgia. Currently Zuberi has a T4 Spinal Cord injury, as well as bone on bone
  cartilage wrist damage, as a result of 25 years of confinement in his
  wheelchair and years of operating his wheelchair manually. His
  recommended treatment for his condition is Stem Cell Treatment and
  Rehabilitation. He is requesting this project be funded As Soon As
  Possible in order for him to benefit from this crucial and essential
  surgery. In addition, he is a prolific writer and film producer with
  an ultimate goal to complete his book and documentary projects titled,
  “Dreaming Beyond My Circumstances”; highlighting  his “ tragedy to
  triumph” story to encourage others that no matter what their adversity
  in life or circumstances they live with, to never give up. Zuberi
  hopes to exemplify that you can still make it no matter your
  circumstances. He wants to shout from the mountaintops, “Just don’t
  give up on your dreams, goals and aspirations, and NEVER give up the
  fight!” His ultimate goal is to walk, dance and run again through this
  vital Stem Cell Treatment. On behalf of Zuberi Mwanathaura, we wish to Thank You in advance for
  your prayers, your financial support, your love and sharing his story
  through social media, and with your friends & families. Please join us in our campaign to Help Zuberi Walk Again in 2018!! Speech in link below of Zuberi doing a Motivational Speech to High
  School Students in Oakland, CA. https://youtu.be/4Y65D7Iljoc Peace and Blessings to All!!!",https://fundrazr.com/51QQ23
"6,805",Please help Matthew!,U.S. Dollar,,of $10k goal,24,"Matthew and his sister Tiffani were born with what is called CVID,
  common variable immunodeficiency.  Both were being treated under a
  Professor,with the medication called Octagam once a month through an
  IV drip.Matthew had an unfortunate experience in the last month, where
  he had a reaction to the Octagam and caused him to end up in hospital
  having lumbar punctures, MRI scans and sonars.  Unfortunately he is
  now unable to receive the Octagam as its a gamble as to whether or not
  he would have the same issues happen again. The option now is to move
  to the subcutaneous medication which is extremely costly. The medical
  aid will cover a portion of this every month, but I am short R5000 per
  month on a 4 week month and R10000 on a 5 week month.  There is also
  the cost of a pump to purchase of over R8000 which medical aid does
  not cover. If I cannot raise enough money, Matthew will not receive
  the correct amount of medication each month, which could lead to more
  infections.  Matthew and I are requesting any form of support no
  matter how big or small that you can give us to help him lead a normal
  healthy life. Thanks to all the local and international kind hearted
  people matt could start his therapy on his correct level for this
  month. It’s been a very trying time for the past two days but my
  little boy has managed to be so brave. I can only thank the support we
  have received, please don’t stop with the support",https://fundrazr.com/11Ko66
"4,950",Help Batchy beat this battle,Australian Dollar,,of $8k goal,51,"I am Dani. Batchy has been a part of my
  life for over 30 years. Such a true friend who is always there. He's a
  super hard worker and anyone that knows him loves him. I'm grateful to
  have him as one of my best mates. He's always up beat and the life of
  the party but this week has really rocked him. There were no real warning signs except
  tummy pains a few weeks ago. His doctor first diagnosed anemia with a
  blood count of only 80 ( should be 140-160) Further testing with a colonoscopy found
  the malignant tumour in his bowel. This news couldn't have come at a worse
  time. He lost his job at the council 2 days before. With zero sick pay
  and holiday pay, every cost will be his responsibility and being on
  his own makes it even harder. He's too lethargic, dizzy and out of
  breath to work. His doctors have made it clear he needs to rest until
  they can operate. We will not know the full costs involved at
  this point or the ongoing expenses involved while Batchy remains out
  of work and in recovery. It depends on how the surgery goes and what
  other treatments may follow... but of course will keep you in the loop. There are MANY beautiful friends of Batchys
  out there who are asking what they can do to help!? ❤️Well this is it... No matter how big or small, every little
  bit counts. He's a tough nut our Batchy, and he's
  staying positive with all the love and strength from his family and friends. We are all here to help him and know he
  will win this battle. Thank you so for all of your messages and
  support. It means so much to him. We will keep you posted on progress as it happens. Love and light Cheers Dani",https://fundrazr.com/Batchy-fight.
"16,775",Support for Treva - Breast Cancer Journey - Part III,,,,,"The post below is from Treva's blog, OneGoodBoob ,  where she chronicles her breast
  cancer journey that started way back in 2005. She
  hoped that new posts wouldn't be necessary.  But unfortunately, she
  received some bad news.  Breast cancer.  Again.  For the third time.
   I'll borrow the title from one of her early posts... ""Ain't That Some Shit!"" If you're reading this, you know Treva's personality and can hear her
  voice and brutal honest truth in those words.  You also know her
  strength - her ability to fight endlessly and to also be there for
  every single person when they need her. The financial burden of cancer is beyond tremendous.  It's hard
  enough to go through treatment and all that comes with it.  We want
  for Treva, Marshall and Bella to not feel the strain of medical bills.
   We want for their lives to continue as normally as possible during
  this time.  Would you help make this possible? Hundreds and hundreds of people love Treva and her beautiful
  family. Please share so that we can reach everyone who cares and wants
  to help. We love you Treva!!! http://www.onegoodboob.wordpress.com/2018/10/09/being-water/ Be water. Whatever forms of water this journey of life requires of you A stream, a drip, a tsunami, a gentle rain or maybe the waves of the oceans For water always finds a way September 7th was not a good day.  The week had been a cluster of
  tests and biopsies.  Once again, for the third time, I was told that I
  had cancer.  I was somewhat surprised by my reaction.  If you have
  read my prior blog posts, you know that I always felt that I was
  “running from the monster”.  Maybe I knew that he would one day catch
  me again.  Whatever the reason, I remained eerily calm in the face of
  this storm.  This time it is in the other breast, the “one good boob”. Life has thrown me many curve balls, as it does with us all.  I
  decided this time not to waste energy on being angry or super sad.  I
  am facing this fight focused and confident.  I am going into this
  battle as a seasoned warrior.  I will not lose.  I will beat it
  again.  I will be here for my daughter, my husband, my family and my friends.",https://fundrazr.com/forourfriendtreva
"2,185",Help Catherine get moving again!,U.S. Dollar,,of $2.1k goal,27,"Hi! My name is Catherine and I am a retired ballet dancer and
  teacher. As you might guess, I am very fond of moving! A couple of
  years ago, however, I was diagnosed with arthritis of the hip and this
  past year I have been using a cane to help me get around. I have a
  physical therapist who also helps me retain the flexibility, mobility
  and strength I still have. He told me that the most important thing is
  just to KEEP MOVING. Therein lies the problem, though, because the hip
  is a weight bearing joint and walking is painful. As my mobility has
  decreased, my weight has increased which puts even more strain on the
  hip. It's a vicious cycle. I know what you're thinking, ""Why not
  just get a hip replacement?"" Believe me, many friends have asked
  the same question but unfortunately, because of other health issues,
  surgery is not a viable option for me. Then I found a mobility device called the Alinker (see video), a three-wheeled walking bike designed to help people remain
    active, do what they love, and build strength so they can live life
    to the fullest. It's an alternative to the typical
    ""walker"" or a motorized scooter. My goal is to
  remain active as a volunteer in my church and my community. I work in
  a food pantry, volunteer often at my church as well as sing in my
  church choir, and I also participate in a community chorus that
  performs regularly at community events and nursing homes. The Alinker is not covered by insurance. As you know, insurance
  companies do not have a vested interest in keeping us healthy. But
  staying healthy is MY goal and I'm asking for your help by way of a
  donation to my campaign. Anything you can do will be helpful and I
  thank you in advance for your support.",https://fundrazr.com/01Q2F8
130,Flight tickets and Medical expenses! / Vuelo de avion y gastos medicos!,U.S. Dollar,"Jan 1, 2019",of $800 goal,3,"Mi nombre es Yuliana, hace tres días mi abuela tuvo un ACV
    Isquémico (Infarto cerebral), ella se encuentra en Venezuela y yo en
    Perú, y necesito llegar lo más pronto posible a mi casa, y
    lamentablemente en este momento no cuento con los recursos, si
    pudiesen ayudarme a llegar a ella se los agradeceria de todo corazón!",https://fundrazr.com/51QsFa
375,Support Madelaine in her healing recovery from cancer,Canadian Dollar,,of $20k goal,12,"Madelaine is a proud Cree/Métis woman - a powwow dancer and Métis
  jigger. Her first given name, Little Rainbow Dancer, foreshadowed her
  life’s purpose. Through dance she has confronted many obstacles,
  including anxiety, depression, and most recently, cancer of the
  breast. Madelaine’s current given name is Strong Earth Woman. She is a
  youth worker, public speaker, actor, dance teacher, and mentor. She is currently healing from a single-mastectomy, and is scheduled
  for a 2nd reconstructive surgery next month. Funds raised will support two-fold! By donating, you will be
  supporting Madeline's healing practices that aren't financially backed
  by the Western medical system. This includes holistic and traditional
  medicine, hydrotherapy (which is considered to be a natural
  radiation), and Oxygen Therapy. Maddy will also be traveling to
  traditional medicine healers and ceremony, as part of her healing recovery. Not only that, you will be helping gift Maddy's story to the world
  through documentary film: Dancing Through . It will focus on
  her journey through cancer, and how dance has helped move her through
  this diagnosis. We are so incredibly grateful for all the support and love. Please
  donate, and if you do not have the means, ""share"" this story
  with those who might resonate. We appreciate you so much! Learn more: Website: Www.DancingThrough.org",https://fundrazr.com/Madelaine
"9,059",Road to Healing: Help Col with treatment and life!,U.S. Dollar,,of $42k goal,91,"A Message from Maria ... When I picture my friend Col, I envision light—a beautiful, warm,
  loving light. Her aura glows with this willingness to understand and empathize. That’s one of the reasons why this disease she has been battling is
  so difficult for me to come to grips with. It seems to be literally
  eating away at the insides of her physical body, and yet her mind and
  her spirit still keep glowing—still keep pushing on—despite the daily
  obstacles she faces. Col does not like to complain so she doesn't want us to list all of
  her symptoms, which are many. When you see her smiling and laughing
  with you, she's doing it amidst great pain and discomfort. Often it
  feels like she's dying. A number of her doctors don't take insurance and need to be paid out
  of pocket (just one office visit can cost $600!) and the treatment
  they prescribe is also not covered by insurance. She has been sick for
  numerous years so you can imagine the toll that that takes. Her illness is not something you'd know about unless you are close to
  her. But it's very serious and it severely impedes her quality of
  life. And her closest friends and family are very concerned— *We want her to be with us for years to come!* Please join me in doing what you can to help Col win this war within
  her body and pave her road to healing. A Message from Sue Elliott ... Have you ever met somebody — even online — and instantly loved that person? I’m not talking about lust. I’m not even talking about appreciation. What I mean is some sort of deep, soul-level recognition. A
  feeling like “home,” like “It’s so good to see you again after all
  these years! I do so adore you!” That’s how I felt about Col the first time I saw her photo and
  read a comment she had posted online in a business-oriented group
  years ago. Since then, I’ve gotten to know Col “better,” and I still have
  that same feeling. She’s like a cross between an angel, a friend and a sister! We have amazing conversations in which we both let go of all
  kinds of “stuff” that no longer serves us and we experience huge AHA moments! If you had asked me a year or so ago how I felt about Col, I
  would have told you that she’s a dear, dear friend, at the very least. And yet, as close as we had gotten on so many levels, I
  had NO idea that Col was often in severe physical pain. Not only does she not complain about pain, she’s so genuinely
  joyful and inspired and inspiring, it never dawned on me that she
  could be anything but energetic and “healthy.” Her very being exudes well-being! Col wrote a beautiful blog post that illustrates her approach to
  life and living, even in the midst of pain... even in the midst of
  illness. Please take a couple minutes to be inspired by the beauty of
  Col’s approach to — and dance with — life: Dancing in the Rain . Throughout the pain and the illness, Col has been giving to
  others in the most magnificent way. She created a FREE program called Magical Medical Mystery Tour , in which she
  interviewed amazing healers of all kinds. She created a forum in which
  these experts shared their wisdom freely with anyone who cared to
  participate. The gift of these interviews continues to unfold within
  me and, I’m sure, within all who were game for the adventure. So when Col told me that she now has one or two Western medical
  doctors for EACH of her organs! —and as much as she loves and
  appreciates them, Western medicine doesn’t seem to be working for her
  particular illness — I didn’t have to ask if she had tried natural and
  alternative healing modalities. I knew she had — with joy and
  enthusiasm and insight ... And yet, her body still has more to say — more insights to
  reveal — and it wants to reveal those insights and that wisdom through
  biological medicine. Col has received many “nudges” from the universe
  pointing her in that direction — and this is a woman who KNOWS how to
  listen to and dance with the universe. Like all great dances, it’s a two-way experience. There is
  giving and receiving. And there is constant expansion. One of the most obvious — and magnificent — benefits of this
  expansive dance with the universe and with pain and illness has been
  creativity. Everything that Col learns and experiences goes deep
  within her being and comes out as ART! Art with spirit. Art with soul. Art with purpose. And art that
  is infused with the energy of healing and a return to balance and wholeness! If you feel inspired, I encourage you to listen to your soul.
  Listen to your body. Listen to your inner response to Col’s artwork.
  And if something resonates deeply within you, please purchase it. Not only will you be bringing something beautiful and powerful
  into your own home or office, you will be helping to make Col’s dream
  come true, the universe-directed dream to receive biological treatment. I know I will be buying several pieces of Col’s work for myself
  and to give as gifts. And I know I will not be alone. Col is so loved
  by so many! Sue Elliott Founder/Editor-in-Chief of Law of Attraction Magazine www.LovingMyself.com .................................................. Here's what your donation will be used for .................................................. Phase One: $6,000 Address heavy metal poisoning, remove mercury amalgams,
    including exam, testing, IV, conscious sedation, post-op meds and at
    least a full year of chelation (then retesting and more chelation,
    if required). Phase Two : $36,000 Research-based holistic treatment plan prescribed by an
    M.D. who specializes in complex illness and an extensive stay at a
    treatment center like Paracelsus or The American Center for
    Biological Medicine including testing, treatments and medications. Ongoing: Life! Col has been unable to continue working and has needed to
    instead focus on her healing so your support will enable her to
    create the space to do this. Thank you! .................................................. PS: Contribute any amount you like. Just click the sunny-orange
  ""Contribute"" button on the upper right or the
  ""Contribute"" link below. Either choose a perk or select
  ""No thanks, I just want to contribute"" to type in a
  customized dollar amount. Thank you for helping!",https://fundrazr.com/HelpColHeal
"20,915",Help Geoffrey Walk Again,U.S. Dollar,,of $22k goal,65,"Hi, My name is Sarah and I'm trying to raise money to help my big
  brother, Geoffrey. My entire life, Geoffrey has been an amazing athlete; he's someone
  who could out run, out climb and out catch anyone. My first memory is
  sitting on the bleachers when I was three watching his baseball games;
  to be honest I mostly liked going for the hot dogs, but I still
  remember watching him run around the bases in a flash of white, blue
  and dust. As I grew up, Geoffrey was someone I always looked up to -- he was
  the amazing skateboarding ninja, a rock climber, adventurer, surfer,
  accomplished chef and snowboarder. When I was 13, he was living and
  snowboarding full time in Salt Lake City, Utah. One of my happiest
  memories was watching him win a snowboarding competition - long before
  snowboarding was an Olympic sport. He was a natural on the snow, able
  to move across, around and over it like a bird gliding over the currents. Now, Geoffrey has trouble walking. He's developed avascular necrosis
  - or bone death - in both of his ankles. I didn't know what that meant
  either when he first told me. What it does mean is that he's in
  constant pain  and has trouble walking.  I do know that it's very rare
  to develop this in the ankles, especially in people as young as he is,
  and that it's very difficult to fix. After seeing many doctors and specialists over the past two years,
  he's finally going to be able to have surgery at the  San Francisco
  Orthopedic Surgery Center in July. They've told him he'll have to have
   arthroscopic surgery on each ankle -- which means going into the
  joint and scraping away the damage and fixing the bone, ligament and
  cartilage as they go along. In some ways Geoffrey is lucky; if the
  surgery goes well, then he'll be able to walk again without having to
  have his ankle joints replaced. To make this happen my mom, Elizabeth Worley, and Geoffrey have been
  looking for a way to make sure Geoffery can get the surgery and
  support he needs to walk again. His insurance will cover most of the
  surgery cost itself, but he'll need to have intensive rehab and
  physical therapy to help him heal and be able to walk again -- and it
  could take between six and eight months for both ankles to heal.  And
  this is where we need your help. For an additional $25,000, we can cover everything his insurance
  won't and make sure he has the support he needs to heal. This mean
  Geoffrey will be able to walk again, be able to work again, and, while
  his snowboarding days are behind him, with your help he'll be able to
  keep up with his amazing dog, Max.",https://fundrazr.com/11Md51
